station_code,construction_id,station_name_tw,station_name_en,line_code,line_name,address,lat,lon
R26,R31,竹圍,Zhuwei,R,淡水信義線,新北市淡水區民權路50號,25.13694,121.459479
R27,R32,紅樹林,Hongshulin,R,淡水信義線,新北市淡水區中正東路二段68號,25.154042,121.458872
R28,R33,淡水,Tamsui,R,淡水信義線,新北市淡水區中正路1號,25.167818,121.445561
G01,G1,新店,Xindian,G,松山新店線,新北市新店區北宜路一段2號,24.957855,121.537584
G02,G2,新店區公所,Xindian District Office,G,松山新店線,新北市新店區北新路一段295號,24.967393,121.54131
G03,G3,七張,Qizhang,G,松山新店線,新北市新店區北新路二段150號,24.975169,121.542942
G03A,G1A,小碧潭,Xiaobitan,G,松山新店線,新北市新店區中央路151號4樓,24.971907,121.530339
G04,G4,大坪林,Dapinglin,G,松山新店線,新北市新店區北新路三段190號,24.982899,121.541352
O01,O19,南勢角,Nanshijiao,O,中和新蘆線,新北市中和區捷運路6號,24.990045,121.509237
O02,O18,景安,Jingan,O,中和新蘆線,新北市中和區景平路486號,24.993905,121.505113
O03,O17,永安市場,Yongan Market,O,中和新蘆線,新北市中和區中和路388號,25.002876,121.511231
O04,O16,頂溪,Dingxi,O,中和新蘆線,新北市永和區永和路二段168號B1,25.013821,121.515485
O13,O7,台北橋,Taipei Bridge,O,中和新蘆線,新北市三重區重新路一段108號B1,25.063274,121.500762
O14,O6,菜寮,Cailiao,O,中和新蘆線,新北市三重區重新路三段150號B1,25.060274,121.492156
O15,O5,三重,Sanchong,O,中和新蘆線,新北市三重區捷運路36號B1,25.055791,121.484725
O16,O4,先嗇宮,Xianse Temple,O,中和新蘆線,新北市三重區重新路五段515號B1,25.046493,121.471916
O17,O3,頭前庄,Touqianzhuang,O,中和新蘆線,新北市新莊區思源路18號B1,25.039705,121.461746
O18,O2,新莊,Xinzhuang,O,中和新蘆線,新北市新莊區中正路138號B1,25.036125,121.452468
O19,O1,輔大,Fu Jen University,O,中和新蘆線,新北市新莊區中正路510之1號B1,25.032718,121.43547
O20,O60,丹鳳,Danfeng,O,中和新蘆線,新北市新莊區中正路624之1號B1,25.0288671,121.4227079
